Region,Code,Year,Deaths,Incidence,Prevalence,Real Prevalence
African Region (WHO),,1990,265452,1716679,580284.5,5802845
African Region (WHO),,1991,343399,1980985,729718.5,7297185
African Region (WHO),,1992,433895,2202247,888870,8888700
African Region (WHO),,1993,535470,2377334,1051644.1,10516441
African Region (WHO),,1994,645341,2503193,1214026.6,12140266
African Region (WHO),,1995,760306,2581305,1372272.5,13722725
African Region (WHO),,1996,875836,2614399,1522967.4,15229674
African Region (WHO),,1997,989767,2604933,1659792.5,16597925
African Region (WHO),,1998,1101108,2559210,1777869.1,17778691
African Region (WHO),,1999,1203809,2488686,1875356.8,18753568
African Region (WHO),,2000,1294485,2405364,1952545.3,19525453
African Region (WHO),,2001,1369991,2316862,2010608.6,20106086
African Region (WHO),,2002,1430201,2230153,2051017.9,20510179
African Region (WHO),,2003,1473615,2152552,2075612.9,20756129
African Region (WHO),,2004,1491641,2085619,2087532.3,20875323
African Region (WHO),,2005,1470200,2028997,2091427.3,20914273
African Region (WHO),,2006,1407953,1979672,2093704.4,20937044
African Region (WHO),,2007,1318224,1934594,2100228.6,21002286
African Region (WHO),,2008,1218332,1888093,2118528,21185280
African Region (WHO),,2009,1129009,1842407,2147717.7,21477177
African Region (WHO),,2010,1056095,1800207,2186136.3,21861363
African Region (WHO),,2011,987518,1751436,2230024.3,22300243
African Region (WHO),,2012,915689,1697839,2277849.4,22778494
African Region (WHO),,2013,852253,1642837,2327929.8,23279298
African Region (WHO),,2014,804418,1587863,2378211.9,23782119
African Region (WHO),,2015,768624,1539597,2427131.1,24271311
African Region (WHO),,2016,742638,1491492,2474145.1,24741451
African Region (WHO),,2017,707227,1425484,2518673.8,25186738
African Region (WHO),,2018,660555,1337115,2560975.4,25609754
African Region (WHO),,2019,635623,1287112,2598584,25985840
Eastern Mediterranean Region (WHO),,1990,981,5614,2341.8,23418
Eastern Mediterranean Region (WHO),,1991,1279,6989,2856.8,28568
Eastern Mediterranean Region (WHO),,1992,1617,8941,3504.1,35041
Eastern Mediterranean Region (WHO),,1993,2036,11424,4320.5,43205
Eastern Mediterranean Region (WHO),,1994,2542,14112,5323.2,53232
Eastern Mediterranean Region (WHO),,1995,3165,16765,6505.9,65059
Eastern Mediterranean Region (WHO),,1996,3903,18973,7848.6,78486
Eastern Mediterranean Region (WHO),,1997,4753,20466,9289,92890
Eastern Mediterranean Region (WHO),,1998,5688,21234,10718.4,107184
Eastern Mediterranean Region (WHO),,1999,6680,21389,12043.4,120434
Eastern Mediterranean Region (WHO),,2000,7690,21228,13218.9,132189
Eastern Mediterranean Region (WHO),,2001,8672,20935,14239.8,142398
Eastern Mediterranean Region (WHO),,2002,9587,20647,15105.2,151052
Eastern Mediterranean Region (WHO),,2003,10397,20544,15834.2,158342
Eastern Mediterranean Region (WHO),,2004,11084,20709,16459.9,164599
Eastern Mediterranean Region (WHO),,2005,11673,20846,17023.6,170236
Eastern Mediterranean Region (WHO),,2006,12181,21443,17581.4,175814
Eastern Mediterranean Region (WHO),,2007,12620,22176,18155.5,181555
Eastern Mediterranean Region (WHO),,2008,12890,23021,18752.1,187521
Eastern Mediterranean Region (WHO),,2009,13096,25978,19471.2,194712
Eastern Mediterranean Region (WHO),,2010,13560,25601,20210.6,202106
Eastern Mediterranean Region (WHO),,2011,14141,27333,20997.7,209977
Eastern Mediterranean Region (WHO),,2012,14666,28017,21939.2,219392
Eastern Mediterranean Region (WHO),,2013,15108,29937,22945.7,229457
Eastern Mediterranean Region (WHO),,2014,15530,31559,24077.5,240775
Eastern Mediterranean Region (WHO),,2015,15908,33542,25360.7,253607
Eastern Mediterranean Region (WHO),,2016,16168,34899,26816.4,268164
Eastern Mediterranean Region (WHO),,2017,16415,35877,28353.8,283538
Eastern Mediterranean Region (WHO),,2018,16638,37018,29913.6,299136
Eastern Mediterranean Region (WHO),,2019,16961,39091,31562.2,315622
European Region (WHO),,1990,15998,42040,37178.9,371789
European Region (WHO),,1991,19405,41894,40006.6,400066
European Region (WHO),,1992,22828,38130,42424.5,424245
European Region (WHO),,1993,26910,35720,44344.7,443447
European Region (WHO),,1994,30868,36110,45988.6,459886
European Region (WHO),,1995,33849,38516,47645.7,476457
European Region (WHO),,1996,32392,50545,49936.5,499365
European Region (WHO),,1997,24819,58639,53159.8,531598
European Region (WHO),,1998,20870,59969,56810.3,568103
European Region (WHO),,1999,23318,59801,60470.5,604705
European Region (WHO),,2000,24053,59883,64112.3,641123
European Region (WHO),,2001,23601,63558,67875.3,678753
European Region (WHO),,2002,23531,65505,71849.3,718493
European Region (WHO),,2003,24704,65418,75767.5,757675
European Region (WHO),,2004,24795,64626,79379.3,793793
European Region (WHO),,2005,28589,65537,82774.7,827747
European Region (WHO),,2006,28348,65398,86086.8,860868
European Region (WHO),,2007,29315,70695,89777.2,897772
European Region (WHO),,2008,30272,78122,94102.5,941025
European Region (WHO),,2009,30006,88614,99212.9,992129
European Region (WHO),,2010,30557,99703,105239.7,1052397
European Region (WHO),,2011,31515,114447,112423.7,1124237
European Region (WHO),,2012,31421,133938,121204.4,1212044
European Region (WHO),,2013,29392,156441,131954.7,1319547
European Region (WHO),,2014,32184,180922,144920.5,1449205
European Region (WHO),,2015,34287,199904,159852.9,1598529
European Region (WHO),,2016,36503,203536,175868.4,1758684
European Region (WHO),,2017,33644,201217,191993.4,1919934
European Region (WHO),,2018,32358,194399,207511.9,2075119
European Region (WHO),,2019,31142,190454,222135.8,2221358
Region of the Americas (WHO),,1990,45969,158117,134577.7,1345777
Region of the Americas (WHO),,1991,55306,147687,146073.8,1460738
Region of the Americas (WHO),,1992,64745,143205,155474.2,1554742
Region of the Americas (WHO),,1993,74802,143980,163527.7,1635277
Region of the Americas (WHO),,1994,84869,125199,169831.4,1698314
Region of the Americas (WHO),,1995,90184,131153,174608.4,1746084
Region of the Americas (WHO),,1996,81243,138788,179546.6,1795466
Region of the Americas (WHO),,1997,66481,159315,185600.8,1856008
Region of the Americas (WHO),,1998,63137,161159,192580.5,1925805
Region of the Americas (WHO),,1999,66179,164827,199620.5,1996205
Region of the Americas (WHO),,2000,66414,161496,207126.7,2071267
Region of the Americas (WHO),,2001,67302,155481,215152.5,2151525
Region of the Americas (WHO),,2002,67989,155459,222810.6,2228106
Region of the Americas (WHO),,2003,68573,156705,230390.5,2303905
Region of the Americas (WHO),,2004,67653,158909,238114.6,2381146
Region of the Americas (WHO),,2005,66491,159401,246057.7,2460577
Region of the Americas (WHO),,2006,65201,164543,254287.1,2542871
Region of the Americas (WHO),,2007,63408,164794,262556,2625560
Region of the Americas (WHO),,2008,61728,168693,270952.7,2709527
Region of the Americas (WHO),,2009,60036,173095,279737.4,2797374
Region of the Americas (WHO),,2010,58775,180922,288658.7,2886587
Region of the Americas (WHO),,2011,57579,187793,297992.8,2979928
Region of the Americas (WHO),,2012,56635,193422,307863.6,3078636
Region of the Americas (WHO),,2013,56520,199815,318352.8,3183528
Region of the Americas (WHO),,2014,56317,207126,329729.7,3297297
Region of the Americas (WHO),,2015,55855,212606,341910.1,3419101
Region of the Americas (WHO),,2016,54822,215524,354809.5,3548095
Region of the Americas (WHO),,2017,53399,217394,368048.8,3680488
Region of the Americas (WHO),,2018,52065,219104,381571.1,3815711
Region of the Americas (WHO),,2019,51057,220345,395313.9,3953139
South-East Asia Region (WHO),,1990,2303,110390,15505.5,155055
South-East Asia Region (WHO),,1991,4665,150798,32207.2,322072
South-East Asia Region (WHO),,1992,8868,189061,52304.3,523043
South-East Asia Region (WHO),,1993,15527,220486,74996.7,749967
South-East Asia Region (WHO),,1994,24715,270362,100418.8,1004188
South-East Asia Region (WHO),,1995,36824,320820,129107.2,1291072
South-East Asia Region (WHO),,1996,52007,378743,161745.9,1617459
South-East Asia Region (WHO),,1997,70356,396041,196655,1966550
South-East Asia Region (WHO),,1998,92078,395065,229965.9,2299659
South-East Asia Region (WHO),,1999,115975,375875,259106.8,2591068
South-East Asia Region (WHO),,2000,139792,340778,281858.7,2818587
South-East Asia Region (WHO),,2001,162013,297378,297445.1,2974451
South-East Asia Region (WHO),,2002,181602,260869,306762.3,3067623
South-East Asia Region (WHO),,2003,195884,232142,310867.1,3108671
South-East Asia Region (WHO),,2004,209778,205853,310727.1,3107271
South-East Asia Region (WHO),,2005,214299,189184,307067.4,3070674
South-East Asia Region (WHO),,2006,212692,180797,302031.3,3020313
South-East Asia Region (WHO),,2007,204966,173002,296415.4,2964154
South-East Asia Region (WHO),,2008,195507,166622,290079.1,2900791
South-East Asia Region (WHO),,2009,181645,158712,283797.5,2837975
South-East Asia Region (WHO),,2010,166299,155658,279131.6,2791316
South-East Asia Region (WHO),,2011,152328,157718,276508.1,2765081
South-East Asia Region (WHO),,2012,140476,159553,275697.2,2756972
South-East Asia Region (WHO),,2013,132305,155734,275843.2,2758432
South-East Asia Region (WHO),,2014,120300,154398,276762.4,2767624
South-East Asia Region (WHO),,2015,106437,152388,278662.9,2786629
South-East Asia Region (WHO),,2016,94706,143083,281046.7,2810467
South-East Asia Region (WHO),,2017,84298,137952,284028,2840280
South-East Asia Region (WHO),,2018,78858,134144,287828.4,2878284
South-East Asia Region (WHO),,2019,76749,128206,291547.1,2915471
Western Pacific Region (WHO),,1990,4379,20526,10898.6,108986
Western Pacific Region (WHO),,1991,5527,35181,13267.9,132679
Western Pacific Region (WHO),,1992,6813,36865,16250,162500
Western Pacific Region (WHO),,1993,8397,46200,19565.5,195655
Western Pacific Region (WHO),,1994,10081,57922,23671.1,236711
Western Pacific Region (WHO),,1995,12378,63373,28338.3,283383
Western Pacific Region (WHO),,1996,14609,64165,32998.4,329984
Western Pacific Region (WHO),,1997,16980,68268,37622.1,376221
Western Pacific Region (WHO),,1998,19977,69721,42236.4,422364
Western Pacific Region (WHO),,1999,22998,75959,46883.2,468832
Western Pacific Region (WHO),,2000,26205,85572,51942.9,519429
Western Pacific Region (WHO),,2001,29658,90985,57333.1,573331
Western Pacific Region (WHO),,2002,32496,98687,62836.1,628361
Western Pacific Region (WHO),,2003,34657,104781,68541.9,685419
Western Pacific Region (WHO),,2004,37374,108400,74527.5,745275
Western Pacific Region (WHO),,2005,40190,109340,80391.9,803919
Western Pacific Region (WHO),,2006,40917,108848,85886,858860
Western Pacific Region (WHO),,2007,40268,108265,91334.7,913347
Western Pacific Region (WHO),,2008,40245,105632,96620.7,966207
Western Pacific Region (WHO),,2009,38981,108671,101863.3,1018633
Western Pacific Region (WHO),,2010,38902,106334,107079.2,1070792
Western Pacific Region (WHO),,2011,40259,100840,111753.6,1117536
Western Pacific Region (WHO),,2012,39477,98962,115798.9,1157989
Western Pacific Region (WHO),,2013,40295,98409,119544.7,1195447
Western Pacific Region (WHO),,2014,43891,100826,123167.3,1231673
Western Pacific Region (WHO),,2015,48266,103059,126658.1,1266581
Western Pacific Region (WHO),,2016,50940,105642,130023.2,1300232
Western Pacific Region (WHO),,2017,51715,111254,133534.7,1335347
Western Pacific Region (WHO),,2018,51573,118279,137568.4,1375684
Western Pacific Region (WHO),,2019,51226,121667,142024.7,1420247
World,OWID_WRL,1990,336387,2057710,782884.6,7828846
World,OWID_WRL,1991,431156,2367711,966546.5,9665465
World,OWID_WRL,1992,540625,2622310,1161502.6,11615026
World,OWID_WRL,1993,665151,2838687,1361266.2,13612662
World,OWID_WRL,1994,801004,3010169,1562257.6,15622576
World,OWID_WRL,1995,939400,3155028,1761560.1,17615601
World,OWID_WRL,1996,1062658,3268622,1958173.6,19581736
World,OWID_WRL,1997,1175308,3310627,2145272.6,21452726
World,OWID_WRL,1998,1304896,3269299,2313339.9,23133399
World,OWID_WRL,1999,1441111,3189447,2456635.2,24566352
World,OWID_WRL,2000,1560801,3077182,2573945.4,25739454
World,OWID_WRL,2001,1663535,2947981,2665770.6,26657706
World,OWID_WRL,2002,1747605,2834016,2733463.6,27334636
World,OWID_WRL,2003,1809961,2734759,2780057.1,27800571
World,OWID_WRL,2004,1844490,2646640,2809742.6,28097426
World,OWID_WRL,2005,1833561,2575750,2827705.8,28277058
World,OWID_WRL,2006,1769283,2523098,2842513.2,28425132
World,OWID_WRL,2007,1670624,2475900,2861394.8,28613948
World,OWID_WRL,2008,1560729,2432604,2891975.1,28919751
World,OWID_WRL,2009,1454432,2399929,2934770.5,29347705
World,OWID_WRL,2010,1365783,2370918,2989462.6,29894626
World,OWID_WRL,2011,1284845,2342046,3052745.3,30527453
World,OWID_WRL,2012,1199767,2314238,3123448.6,31234486
World,OWID_WRL,2013,1127213,2285709,3199728.1,31997281
World,OWID_WRL,2014,1073944,2265234,3280097.7,32800977
World,OWID_WRL,2015,1030605,2243665,3362883.7,33628837
World,OWID_WRL,2016,996978,2196714,3446103.8,34461038
World,OWID_WRL,2017,947838,2131659,3528107.9,35281079
World,OWID_WRL,2018,893147,2042488,3608926,36089260
World,OWID_WRL,2019,863837,1989282,3684815.4,36848154
